sport,league,name,teams
hockey,Finland SM 3,Ilves vs Lukko,Ilves|Lukko
hockey,Finland SM 3,Jokerit vs Karpat,Jokerit|Karpat
hockey,Finland SM 3,Jyp vs Blues,Jyp|Blues
hockey,Finland SM 3,Ka I Pa vs Tappara,Ka I Pa|Tappara
hockey,Finland SM 3,Pelicans vs Assat,Pelicans|Assat
hockey,Finland SM 3,Sai Pa vs Tps,Sai Pa|Tps
hockey,Ger DEL 3,Erc Ingolstadt vs Eisbaren Berlin,Erc Ingolstadt|Eisbaren Berlin
hockey,Ger DEL 3,Iserlohn Roosters vs Ehc Red Bull Munchen,Iserlohn Roosters|Ehc Red Bull Munchen
hockey,Ger DEL 3,Thomas Sabo Ice Tigers vs Grizzly Adams Wolfsburg,Thomas Sabo Ice Tigers|Grizzly Adams Wolfsburg
hockey,Ger DEL 3,Adler Mannheim vs Kolner Haie,Adler Mannheim|Kolner Haie
hockey,Ger DEL 3,Grizzly Adams Wolfsburg vs Thomas Sabo Ice Tigers,Grizzly Adams Wolfsburg|Thomas Sabo Ice Tigers
hockey,Ger DEL 3,Kolner Haie vs Adler Mannheim,Kolner Haie|Adler Mannheim
hockey,Live Rus KHL,Torpedo Nn vs Salavat Ufa,Torpedo Nn|Salavat Ufa
hockey,NHL Alt OT,Boston Bruins vs Montreal Canadiens,Boston Bruins|Montreal Canadiens
hockey,NHL Alt OT,Vancouver Canucks vs Winnipeg Jets,Vancouver Canucks|Winnipeg Jets
hockey,NHL Alt OT,Chicago Blackhawks vs Colorado Avalanche,Chicago Blackhawks|Colorado Avalanche
hockey,NHL Alt OT,Anaheim Ducks vs Calgary Flames,Anaheim Ducks|Calgary Flames
hockey,NHL Alt OT,Phoenix Coyotes vs Boston Bruins,Phoenix Coyotes|Boston Bruins
hockey,NHL Alt OT,San Jose Sharks vs Columbus Blue Jackets,San Jose Sharks|Columbus Blue Jackets
hockey,NHL Alt OT,Buffalo Sabres vs Carolina Hurricanes,Buffalo Sabres|Carolina Hurricanes
hockey,NHL Alt OT,Florida Panthers vs Tampa Bay Lightning,Florida Panthers|Tampa Bay Lightning
hockey,NHL Alt OT,Edmonton Oilers vs St. Louis Blues,Edmonton Oilers|St. Louis Blues
hockey,NHL Alt OT,New York Rangers vs Minnesota Wild,New York Rangers|Minnesota Wild
hockey,NHL Alt OT,Toronto Maple Leafs vs Los Angeles Kings,Toronto Maple Leafs|Los Angeles Kings
hockey,NHL OT Incl,Boston Bruins vs Montreal Canadiens,Boston Bruins|Montreal Canadiens
hockey,NHL OT Incl,Vancouver Canucks vs Winnipeg Jets,Vancouver Canucks|Winnipeg Jets
hockey,NHL OT Incl,Chicago Blackhawks vs Colorado Avalanche,Chicago Blackhawks|Colorado Avalanche
hockey,NHL OT Incl,Anaheim Ducks vs Calgary Flames,Anaheim Ducks|Calgary Flames
hockey,NHL OT Incl,Away Goals vs Home Goals,Away Goals|Home Goals
hockey,NHL OT Incl,Phoenix Coyotes vs Boston Bruins,Phoenix Coyotes|Boston Bruins
hockey,NHL OT Incl,San Jose Sharks vs Columbus Blue Jackets,San Jose Sharks|Columbus Blue Jackets
hockey,NHL OT Incl,Buffalo Sabres vs Carolina Hurricanes,Buffalo Sabres|Carolina Hurricanes
hockey,NHL OT Incl,Florida Panthers vs Tampa Bay Lightning,Florida Panthers|Tampa Bay Lightning
hockey,NHL OT Incl,Edmonton Oilers vs St. Louis Blues,Edmonton Oilers|St. Louis Blues
hockey,NHL OT Incl,New York Rangers vs Minnesota Wild,New York Rangers|Minnesota Wild
hockey,NHL OT Incl,Toronto Maple Leafs vs Los Angeles Kings,Toronto Maple Leafs|Los Angeles Kings
hockey,NHL OT Incl,Away Goals vs Home Goals,Away Goals|Home Goals
hockey,NHL Reg Time,Boston Bruins vs Montreal Canadiens,Boston Bruins|Montreal Canadiens
hockey,NHL Reg Time,Vancouver Canucks vs Winnipeg Jets,Vancouver Canucks|Winnipeg Jets
hockey,NHL Reg Time,Chicago Blackhawks vs Colorado Avalanche,Chicago Blackhawks|Colorado Avalanche
hockey,NHL Reg Time,Anaheim Ducks vs Calgary Flames,Anaheim Ducks|Calgary Flames
hockey,NHL Reg Time,Phoenix Coyotes vs Boston Bruins,Phoenix Coyotes|Boston Bruins
hockey,NHL Reg Time,San Jose Sharks vs Columbus Blue Jackets,San Jose Sharks|Columbus Blue Jackets
hockey,NHL Reg Time,Buffalo Sabres vs Carolina Hurricanes,Buffalo Sabres|Carolina Hurricanes
hockey,NHL Reg Time,Florida Panthers vs Tampa Bay Lightning,Florida Panthers|Tampa Bay Lightning
hockey,NHL Reg Time,Edmonton Oilers vs St. Louis Blues,Edmonton Oilers|St. Louis Blues
hockey,NHL Reg Time,New York Rangers vs Minnesota Wild,New York Rangers|Minnesota Wild
hockey,NHL Reg Time,Toronto Maple Leafs vs Los Angeles Kings,Toronto Maple Leafs|Los Angeles Kings
hockey,Nor GET L 3,Kongsvinger vs Stjernen,Kongsvinger|Stjernen
hockey,Nor GET L 3,Manglerud Star vs Tonsberg Ihk,Manglerud Star|Tonsberg Ihk
hockey,Nor GET L 3,Lorenskog Ik vs Lillehammer Ik,Lorenskog Ik|Lillehammer Ik
hockey,Nor GET L 3,Storhamar Dragons vs Sparta Sarpsborg,Storhamar Dragons|Sparta Sarpsborg
hockey,Nor GET L 3,Frisk/Asker vs Valerenga,Frisk/Asker|Valerenga
hockey,Nor GET L 3,Rosenborg Elite vs Stavanger Oilers,Rosenborg Elite|Stavanger Oilers
hockey,Nor GET L 3,Sparta Sarpsborg vs Storhamar Dragons,Sparta Sarpsborg|Storhamar Dragons
hockey,Nor GET L 3,Lillehammer Ik vs Lorenskog Ik,Lillehammer Ik|Lorenskog Ik
hockey,Pol Extra 3,Jkh Gks Jastrzebie vs Ciarko Pbs Bank,Jkh Gks Jastrzebie|Ciarko Pbs Bank
hockey,Pol Extra 3,Aksam Unia Oswiecim vs Gks Tychy,Aksam Unia Oswiecim|Gks Tychy
hockey,Pol Extra 3,Aksam Unia Oswiecim vs Gks Tychy,Aksam Unia Oswiecim|Gks Tychy
hockey,Pol Extra 3,Jkh Gks Jastrzebie vs Ciarko Pbs Bank,Jkh Gks Jastrzebie|Ciarko Pbs Bank
hockey,Russia KHL 3,Dinamo Moscow vs Lokomotiv Yaroslavl,Dinamo Moscow|Lokomotiv Yaroslavl
hockey,Russia KHL 3,Hc Donbass vs Dinamo Riga,Hc Donbass|Dinamo Riga
hockey,Russia KHL 3,Vityaz Chehov vs Severstal Cherepovec,Vityaz Chehov|Severstal Cherepovec
hockey,Slovak ExL 3,Hk 36 Skalica vs Hc 05 Banska Bystrica,Hk 36 Skalica|Hc 05 Banska Bystrica
hockey,Slovak ExL 3,Hk Skp Poprad vs Shk 37 Piestany,Hk Skp Poprad|Shk 37 Piestany
hockey,Swe HalSve 3,If Troja/Ljungby vs If Bjorkloven,If Troja/Ljungby|If Bjorkloven
hockey,Swe HalSve 3,Kallinge/Ronneby If vs Tingsryds Aif,Kallinge/Ronneby If|Tingsryds Aif
hockey,Swe HalSve 3,Pitea Hc vs Hc Vita Hasten,Pitea Hc|Hc Vita Hasten
hockey,Swe HalSve 3,Mora Ik vs Karlskrona Hk,Mora Ik|Karlskrona Hk
hockey,Swe HalSve 3,Rogle Bk vs Bik Karlskoga,Rogle Bk|Bik Karlskoga
hockey,Swe HalSve 3,Mora Ik vs Rogle Bk,Mora Ik|Rogle Bk
hockey,Swe HalSve 3,Bik Karlskoga vs Karlskrona Hk,Bik Karlskoga|Karlskrona Hk
hockey,Swed Elits 3,Brynas If vs Farjestads Bk,Brynas If|Farjestads Bk
hockey,Swed Elits 3,Leksands If vs Hv 71,Leksands If|Hv 71
hockey,Swed Elits 3,Modo Hockey vs Linkopings Hc,Modo Hockey|Linkopings Hc
hockey,Swed Elits 3,Vaxjo Lakers Hc vs Lulea Hf,Vaxjo Lakers Hc|Lulea Hf
hockey,Swed Elits 3,Leksands If vs Hv 71,Leksands If|Hv 71
hockey,Swed Elits 3,Modo Hockey vs Linkopings Hc,Modo Hockey|Linkopings Hc
hockey,Switz NL A 3,Ehc Biel vs Rapperswil Jona Lakers,Ehc Biel|Rapperswil Jona Lakers
hockey,Switz NL A 3,Ev Zug vs Sc Bern,Ev Zug|Sc Bern
hockey,Switz NL A 3,Hc Ambri Piotta vs Hc Fribourg Gotteron,Hc Ambri Piotta|Hc Fribourg Gotteron
hockey,Switz NL A 3,Hc Davos vs Ehc Kloten Flyers,Hc Davos|Ehc Kloten Flyers
hockey,Switz NL A 3,Hc Lugano vs Geneve Servette Hc,Hc Lugano|Geneve Servette Hc
hockey,Switz NL A 3,Lausanne Hc vs Zsc Lions,Lausanne Hc|Zsc Lions
